IP Address,Country,ORPort,Bandwidth (MiB/s),Flags,Nickname
139.99.170.52,au,443,0.71,"Fast, HSDir, Running, Stable, V2Dir, Valid",Ross
139.99.197.44,au,9001,0.89,"Fast, HSDir, Running, Stable, V2Dir, Valid",ariel
139.99.156.197,au,9002,1.00,"Fast, Running, Stable, Valid",bootybay
139.99.170.244,au,443,0.83,"Fast, HSDir, Running, Stable, V2Dir, Valid",GoldCoast
139.99.170.35,au,443,1.75,"Fast, HSDir, Running, Stable, V2Dir, Valid",Hobart
175.39.102.69,au,9001,0.46,"Running, Stable, V2Dir, Valid",Unnamed
116.255.1.163,au,9002,1.85,"Fast, HSDir, Running, Stable, V2Dir, Valid",badc1ded
27.50.73.210,au,9001,0.97,"Fast, HSDir, Running, Stable, V2Dir, Valid",PaulineHanson
203.12.12.233,au,39001,0.39,"Running, Stable, V2Dir, Valid",Hisaki
144.6.189.17,au,9001,0.85,"Fast, Running, V2Dir, Valid",ALBO
123.208.171.47,au,9002,0.45,"Running, Stable, V2Dir, Valid",Sentinel
49.177.125.155,au,1114,0.51,"Running, V2Dir, Valid",Realaye
159.196.89.240,au,9001,0.19,"Running, Stable, V2Dir, Valid",wokwaixtor
202.125.25.197,au,9001,0.47,"Running, Stable, V2Dir, Valid",RaspberryPenguin
43.224.181.168,au,3389,0.61,"Fast, Running, Stable, V2Dir, Valid",MaxRelay47
140.83.50.92,au,443,1.31,"Fast, HSDir, Running, Stable, V2Dir, Valid",didntsetrelayname
185.177.229.228,au,1080,24.13,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Planetclaire60
180.150.90.44,au,9002,0.78,"Fast, Running, Stable, V2Dir, Valid",Kitten
185.177.229.228,au,9002,27.34,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Planetclaire63
103.204.240.70,au,9001,1.57,"Fast, HSDir, Running, Stable, V2Dir, Valid",BlackBoxx
159.196.29.40,au,9001,0.87,"Fast, Running, V2Dir, Valid",GlennyGeeTor
115.130.84.38,au,9009,1.13,"Fast, HSDir, Running, Stable, V2Dir, Valid",saltedcrimson2o7
58.179.75.194,au,9001,1.37,"Fast, HSDir, Running, Stable, V2Dir, Valid",lame
139.99.199.199,au,9001,0.00,"Running, StaleDesc, V2Dir, Valid",SK3WL0FR00TAU01
103.209.24.218,au,9001,1.71,"Fast, HSDir, Running, Stable, V2Dir, Valid",DarkAngelR1
202.90.241.38,au,9001,0.64,"Running, Stable, V2Dir, Valid",firehawksystems
125.63.30.60,au,9001,1.00,"Fast, HSDir, Running, Stable, V2Dir, Valid",MyStIC
,,,,,
185.99.2.143,ba,443,12.88,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",iLoveTheFediverse
185.99.2.117,ba,443,22.80,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",iLoveBoykissers
185.99.2.160,ba,443,12.97,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",iLoveColonThree
,,,,,
45.249.101.87,bd,9090,1.18,"Fast, HSDir, Running, Stable, V2Dir, Valid",jollyjack
45.141.157.50,bd,443,9.55,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",serpico
,,,,,
84.198.118.68,be,9001,4.75,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Unnamed
141.98.233.146,be,9001,12.08,"Fast, Guard, Running, Stable, V2Dir, Valid",torNodes19
91.121.219.14,be,9001,38.24,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",jello
81.241.188.39,be,9001,34.33,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Azhurold
81.164.204.205,be,443,0.20,"Running, Stable, Valid",tornode55557
109.138.0.42,be,9001,1.05,"Fast, HSDir, Running, Stable, V2Dir, Valid",AnonymousOnion
81.241.188.39,be,443,44.90,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",Verox
212.233.42.123,be,9001,1.77,"Fast, Running, V2Dir, Valid",Tor4H
178.32.42.219,be,9001,46.00,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",gangnam
77.109.97.112,be,8443,1.49,"Fast, Running, Stable, Valid",compuBiloutte
80.200.169.62,be,9001,0.59,"Running, V2Dir, Valid",Nestor1
91.178.159.239,be,4096,53.05,"Fast, Guard, HSDir, Running, Stable, V2Dir, Valid",exooooRelay
213.219.188.68,be,9001,0.52,"Fast, Running, Stable, V2Dir, Valid",Unnamed
